,title,area,numberOfRooms,price,town,district
165,ARNAVUTKÖY HARAÇÇI'DA SATILIK 2+1 ARAKAT DAİRE 110m2,120,3+1,700000,Haraççı,Haraççı Mh.
166,ARNAVUTKÖY MEZARLIK YAKIN İNŞAAT TAN SATILIK 3+1 DAİRE,130,3+1,920000,Arnavutköy,İslambey Mh.
167,ARNAVUTKÖY KARLIBAYIR'DA 3+2 SATILIK 200M2 DUBLEX DAİRE,220,3+2,1480000,Haraççı,Karlıbayır Mh.
168,HASMEKSTAR ÎNŞAATDAN TERS DUBLEKS DAİRE HARACI KARLIBAYIRDA,110,3+1,570000,Haraççı,Karlıbayır Mh.
169,KİPTAŞ HADIMKÖY 3. ETAP SATILIK 2+1 A SİTE MANZARALI DOĞU CEPHE,84,2+1,1160000,Hadımköy,(Boyalık)Deliklikaya Mah.
170,Tek daire fiyatına iki daire,170,3+2,990000,Arnavutköy,İslambey Mh.
171,Sahibinden satılık daire,90,2+1,820000,Arnavutköy,Anadolu Mah.
172,ARNAVUTKÖY MUSTAFA KEMALPAŞA MAHALLESİNDE SATILIK 2+1 LÜX ARAKAT,105,2+1,1250000,Arnavutköy,Mustafa Kemal Paşa Mh.
173,Arnavutköy Merkezde 100 m2 2+1 Satılık Daire,100,2+1,860000,Arnavutköy,Anadolu Mah.
174,ARNAVUTKÖYDE GENİŞ KULLANIŞLI 2+1 SATILIK BAHÇE KATI,90,2+1,575000,Arnavutköy,Anadolu Mah.
175,4+2 dubleks ev,220,4+2,920000,Arnavutköy,İslambey Mh.
176,SAHİBİNDEN HARAÇÇI MERKEZDE 2+1 ARA KAT SATILIK SIFIR DAİRE 90M2,90,2+1,940000,Haraççı,Haraççı Mh.
177,Soyak Konforia 10.Kat 1+1 Daire Sahibinden Satılık (Güneybatı),62,1+1,1145000,Hadımköy,(Boyalık)Deliklikaya Mah.
178,ARNAVUTKÖY AVM YAKINI SATILIK ARA DAİRE,90,2+1,950000,Arnavutköy,Mustafa Kemal Paşa Mh.
179,islambey Mahallesi'nde sahibinden satılık daire,75,2+1,595000,Arnavutköy,İslambey Mh.
180,Arnavutköy Bolluca'da Satılık Giyinme Odalı 100 m2 daire,110,2+1,1030000,Bolluca,nan
181,ARNAVUTKÖY MERKEZ MAHALLESİNDE SATILIK 4+1 180 m² LÜKS DUBLEX,190,4+1,1550000,Arnavutköy,Arnavutköy Merkez Mh.
182,ARNAVUTKÖY MUSTAFA KEMAL PAŞA MAH.SATILIK 3+1 BAHÇELİ BAHÇE KATI,125,3+1,555000,Arnavutköy,Mustafa Kemal Paşa Mh.
183,Satılık lüks daire,100,2+1,1260000,Haraççı,Karlıbayır Mh.
184,HASMEKSTAR İNŞAATDAN UTRA LÜKS ARAKAT GİBİ YÜKSEK GİRİŞ KAT DA.,130,3+1,1175000,Arnavutköy,Anadolu Mah.
185,Havalimanına EnYakın Lüx Sitede 3+1 Peyzaj Manzaralı Uygun Daire,120,3+1,1990000,Arnavutköy,İslambey Mh.
186,Arnavutköy Anadolu mahallesi satılık 4 + 180 metre²,190,4+2,1600000,Arnavutköy,Anadolu Mah.
